"Congress" "states_served" "is_slaveholder" "count"
"1" 1 "CT" "false" 4
"2" 1 "CT" "true" 3
"3" 1 "DE" "true" 3
"4" 1 "GA" "false" 2
"5" 1 "GA" "unknown" 3
"6" 1 "MA" "false" 8
"7" 1 "MA" "true" 2
"8" 1 "MD" "true" 6
"9" 1 "MD" "unknown" 2
"10" 1 "NC" "false" 1
"11" 1 "NC" "true" 5
"12" 1 "NC,TN" "true" 1
"13" 1 "NH" "false" 5
"14" 1 "NJ" "true" 2
"15" 1 "NJ" "unknown" 5
"16" 1 "NY" "true" 7
"17" 1 "NY" "unknown" 1
"18" 1 "PA" "false" 4
"19" 1 "PA" "true" 5
"20" 1 "PA,MD" "true" 1
"21" 1 "RI" "false" 3
"22" 1 "SC" "true" 5
"23" 1 "SC" "unknown" 2
"24" 1 "VA" "true" 12
"25" 1 "VA" "unknown" 2
"26" 1 "VA,KY" "true" 1
"27" 10 "CT" "false" 5
"28" 10 "CT" "true" 3
"29" 10 "CT" "unknown" 2
"30" 10 "DE" "false" 1
"31" 10 "DE" "true" 2
"32" 10 "DE" "unknown" 1
"33" 10 "GA" "false" 1
"34" 10 "GA" "true" 5
"35" 10 "GA" "unknown" 2
"36" 10 "IN" "unknown" 1
"37" 10 "IN,IL" "true" 1
"38" 10 "KY" "true" 6
"39" 10 "KY" "unknown" 1
"40" 10 "MA" "false" 20
"41" 10 "MA" "unknown" 1
"42" 10 "MA,ME" "false" 1
"43" 10 "MD" "true" 9
"44" 10 "MD" "unknown" 2
"45" 10 "MS" "true" 1
"46" 10 "NC" "true" 14
"47" 10 "NH" "false" 5
"48" 10 "NH" "true" 1
"49" 10 "NH" "unknown" 1
"50" 10 "NJ" "true" 4
"51" 10 "NJ" "unknown" 5
"52" 10 "NY" "false" 3
"53" 10 "NY" "true" 13
"54" 10 "NY" "unknown" 4
"55" 10 "OH" "false" 1
"56" 10 "OH" "true" 2
"57" 10 "OH" "unknown" 1
"58" 10 "OL" "true" 1
"59" 10 "PA" "false" 15
"60" 10 "PA" "true" 4
"61" 10 "PA" "unknown" 3
"62" 10 "RI" "false" 5
"63" 10 "RI" "true" 1
"64" 10 "SC" "true" 10
"65" 10 "TN" "true" 3
"66" 10 "TN" "unknown" 2
"67" 10 "VA" "true" 16
"68" 10 "VA" "unknown" 8
"69" 10 "VA,MS" "true" 1
"70" 10 "VT" "false" 8
"71" 10 "VT,KY" "true" 1
"72" 11 "CT" "false" 5
"73" 11 "CT" "true" 3
"74" 11 "CT" "unknown" 2
"75" 11 "DE" "true" 3
"76" 11 "DE" "unknown" 1
"77" 11 "GA" "true" 5
"78" 11 "GA" "unknown" 2
"79" 11 "IN" "unknown" 1
"80" 11 "KY" "true" 8
"81" 11 "KY" "unknown" 1
"82" 11 "MA" "false" 20
"83" 11 "MA" "unknown" 1
"84" 11 "MA,ME" "false" 1
"85" 11 "MD" "true" 10
"86" 11 "MD" "unknown" 3
"87" 11 "MS" "true" 1
"88" 11 "NC" "true" 14
"89" 11 "NH" "false" 6
"90" 11 "NH" "true" 1
"91" 11 "NH" "unknown" 1
"92" 11 "NJ" "true" 3
"93" 11 "NJ" "unknown" 7
"94" 11 "NY" "false" 6
"95" 11 "NY" "true" 13
"96" 11 "NY" "unknown" 1
"97" 11 "OH" "false" 2
"98" 11 "OH" "true" 1
"99" 11 "OH" "unknown" 2
"100" 11 "OL" "true" 1
"101" 11 "PA" "false" 12
"102" 11 "PA" "true" 4
"103" 11 "PA" "unknown" 5
"104" 11 "RI" "false" 2
"105" 11 "RI" "true" 3
"106" 11 "SC" "true" 11
"107" 11 "TN" "true" 5
"108" 11 "TN" "unknown" 1
"109" 11 "VA" "true" 21
"110" 11 "VA" "unknown" 5
"111" 11 "VT" "false" 5
"112" 11 "VT" "unknown" 1
"113" 11 "VT,KY" "true" 1
"114" 12 "CT" "false" 5
"115" 12 "CT" "true" 2
"116" 12 "CT" "unknown" 2
"117" 12 "DE" "true" 3
"118" 12 "GA" "true" 6
"119" 12 "GA" "unknown" 1
"120" 12 "IL" "true" 1
"121" 12 "IN" "unknown" 1
"122" 12 "KY" "true" 7
"123" 12 "LA" "true" 3
"124" 12 "LA" "unknown" 2
"125" 12 "MA" "false" 19
"126" 12 "MA" "unknown" 1
"127" 12 "MD" "true" 10
"128" 12 "MD" "unknown" 2
"129" 12 "MO" "unknown" 1
"130" 12 "MS" "true" 1
"131" 12 "NC" "true" 13
"132" 12 "NC,AL" "true" 2
"133" 12 "NC,TN" "true" 1
"134" 12 "NH" "false" 5
"135" 12 "NH" "true" 1
"136" 12 "NH" "unknown" 1
"137" 12 "NJ" "true" 2
"138" 12 "NJ" "unknown" 6
"139" 12 "NY" "false" 9
